scenario,global_candidate_rank,pricing_model,price_scheme_detail,converged,all_station_profit_compliant,average_service_access_performance,minimum_service_access_performance,average_service_satisfaction,minimum_service_satisfaction,annual_government_subsidy,annual_net_profit,profit_rate,joint_feasible_solution_exists
S0,11,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.735955,0.682983,0.859747,0.820548,2263000.0,1055406.77,0.027752,0
S0,12,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.734651,0.682983,0.858913,0.820548,2263000.0,959689.79,0.025233,0
S0,13,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 33.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.738205,0.682983,0.859306,0.820548,2263000.0,1154180.45,0.030362,0
S0,14,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}}",0,0,0.698371,0.524052,0.950577,0.904548,1898000.0,4118546.06,0.124484,0
S4,1,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.348042,0.251929,0.949291,0.904514,1022000.0,-1238787.3,-0.062654,0
S4,2,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.718486,0.638213,0.987357,0.978681,1898000.0,3002175.03,0.087367,0
S4,3,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.325497,0.247568,0.925719,0.904514,1022000.0,-1785914.51,-0.093433,0
S4,4,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.718901,0.638746,0.986698,0.978618,1898000.0,3048426.05,0.088726,0
S4,5,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.589952,0.484937,0.969428,0.895603,1606000.0,1474008.92,0.04997,0
S4,6,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.718486,0.638213,0.987357,0.978681,1898000.0,3002175.03,0.087367,0
S4,7,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.336525,0.272954,0.91802,0.895603,1022000.0,-1917861.15,-0.097026,0
S4,8,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.718901,0.638746,0.986698,0.978618,1898000.0,3048426.05,0.088726,0
S4,9,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.348416,0.252211,0.947158,0.904514,1022000.0,-1181997.27,-0.059793,0
S4,10,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.718486,0.638213,0.987357,0.978681,1898000.0,3002175.03,0.087367,0
S4,11,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.324847,0.247568,0.925292,0.904514,1022000.0,-1741365.07,-0.091177,0
S4,12,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.718901,0.638746,0.986698,0.978618,1898000.0,3048426.05,0.088726,0
S4,13,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.589952,0.484937,0.969428,0.895603,1606000.0,1474008.92,0.04997,0
S4,14,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.718486,0.638213,0.987357,0.978681,1898000.0,3002175.03,0.087367,0
S4,15,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.321612,0.244159,0.917586,0.895603,1022000.0,-1938936.15,-0.101493,0
S4,16,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.718901,0.638746,0.986698,0.978618,1898000.0,3048426.05,0.088726,0
S4,17,service_level_station_service_pricing,"{""A"": {""上门护理"": 33.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.34925,0.253629,0.947381,0.904514,1022000.0,-1183490.23,-0.059879,0
S4,18,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.3478,0.302577,0.941577,0.904514,1022000.0,-1142069.83,-0.057803,0
S4,19,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 33.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.350414,0.251929,0.952913,0.912308,1022000.0,-1248594.33,-0.063167,0
S4,20,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.34817,0.251929,0.948639,0.90336,1022000.0,-1210188.0,-0.061218,0
S4,21,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.384677,0.266256,0.928344,0.904548,1364515.56,-1021193.2,-0.047268,0
S4,22,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 33.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.384551,0.266256,0.92842,0.904548,1363029.69,-1027867.54,-0.047609,0
S4,23,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""G"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""J"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.71826,0.638213,0.985867,0.975724,1898000.0,3135559.93,0.091261,0
