figure_id,title_cn,source_module,input_files,output_png,output_pdf,output_svg,recommended_location,reason,data_rows,data_columns,status
rq2_04,各服务站容量利用率与安全阈值,RQ2,/Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_1_best_scheme_stations.csv,,,,table_better,全部站点利用率几乎一致，单独柱状图信息量不足，建议在正文文字或表格中直接说明。,3,19,skipped_table_better
rq2_05,各小区服务可及绩效与满意度,RQ2,/Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_1_best_scheme_allocations.csv,png/rq2_05_access_performance.png,pdf/rq2_05_access_performance.pdf,svg/rq2_05_access_performance.svg,appendix,用于展示社区层面的服务可及差异，并叠加满意度辅助解释。,10,17,generated
rq2_06,各服务站年度收支结构与净利润,RQ2,/Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_1_best_scheme_stations.csv,png/rq2_06_financial_structure.png,pdf/rq2_06_financial_structure.pdf,svg/rq2_06_financial_structure.svg,appendix,用于补充站点级财务差异；若正文版面紧张，建议置于附录。,3,7,generated
rq2_07,RQ2 Pareto 前沿：净利润与平均服务可及绩效,RQ2,/Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_2_pareto_frontier.csv,png/rq2_07_pareto_profit_vs_access.png,pdf/rq2_07_pareto_profit_vs_access.pdf,svg/rq2_07_pareto_profit_vs_access.svg,appendix,用于补充说明问题2在容量安全、利润合规约束下的布局权衡，属于扩展分析图，不替代主结论图。,338,16,generated
rq2_08,最低可及绩效阈值变化下的可行方案与绩效,RQ2,/Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_2_epsilon_constraint_summary.csv,png/rq2_08_epsilon_constraint.png,pdf/rq2_08_epsilon_constraint.pdf,svg/rq2_08_epsilon_constraint.svg,appendix,将最低可及绩效阈值提高后可行空间快速缩小，同时可直观看到最低可及性门槛对代表方案绩效的牵引，属于扩展分析图，不替代主结论图。,5,17,generated
rq2_09,容量瓶颈候选方案最低可及绩效对比,RQ2,/Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_2_capacity_bottleneck_top20.csv,png/rq2_09_capacity_bottleneck.png,pdf/rq2_09_capacity_bottleneck.pdf,svg/rq2_09_capacity_bottleneck.svg,appendix,从容量约束最紧的候选方案中筛出代表样本，辅助解释为什么部分布局在最低可及绩效底线下仍受容量卡住。,10,10,generated
rq3_01,问题3两类代表性定价方案对比,RQ3,/Users/lifulin/Desktop/B/Solutions/RQ3/outputs/3_1_aux_dual_scheme_comparison.csv,png/rq3_01_dual_scheme_compare.png,pdf/rq3_01_dual_scheme_compare.pdf,svg/rq3_01_dual_scheme_compare.svg,main_text,并列展示满意度主目标下的两类代表性定价方案，突出辅助可及绩效、逐站利润率约束与净利润之间的差异。,2,7,generated
rq3_02,问题3社区平均老人满意度前沿图,RQ3,/Users/lifulin/Desktop/B/Solutions/RQ3/outputs/3_1_aux_pareto_frontier.csv,png/rq3_02_pareto_profit_avg_satisfaction.png,pdf/rq3_02_pareto_profit_avg_satisfaction.pdf,svg/rq3_02_pareto_profit_avg_satisfaction.svg,main_text,展示满意度主目标下定价方案在利润与社区平均老人满意度之间的权衡关系，可作为问题3正文核心前沿图。,9,37,generated
rq3_03,问题3最低老人满意度边界图,RQ3,/Users/lifulin/Desktop/B/Solutions/RQ3/outputs/3_1_aux_pareto_frontier.csv,png/rq3_03_pareto_min_satisfaction.png,pdf/rq3_03_pareto_min_satisfaction.pdf,svg/rq3_03_pareto_min_satisfaction.svg,main_text,聚焦少量代表性定价方案而非全部点云，更适合在正文直接解释最低老人满意度边界与财务代价。,3,8,generated
rq3_04,满意度优先方案下价格满意度与辅助可及绩效,RQ3,/Users/lifulin/Desktop/B/Solutions/RQ3/outputs/3_1_aux_satisfaction_best_price_scheme_communities.csv,png/rq3_04_price_vs_access.png,pdf/rq3_04_price_vs_access.pdf,svg/rq3_04_price_vs_access.svg,appendix,用于拆解价格因素与服务结果之间的关系，适合作为正文之外的机制解释图。,10,3,generated
rq3_05,各服务站紧急救助公益服务亏损,RQ3,/Users/lifulin/Desktop/B/Solutions/RQ3/outputs/3_1_aux_financial_best_price_scheme_stations.csv,png/rq3_05_emergency_loss.png,pdf/rq3_05_emergency_loss.pdf,svg/rq3_05_emergency_loss.svg,appendix,用于说明公益服务为什么需要政策补偿，是较强的政策解释图。,3,2,generated
rq3_06,RQ3 稳定性增强诊断图,RQ3,,,,,appendix,No matched output file found in /Users/lifulin/Desktop/B/Solutions/RQ3/outputs for candidate keywords: 3_3+damping+sensitivity | damping+sensitivity | damping,0,0,skipped_missing_data
rq3_07,S4 情景站点—服务项目级定价热力图,RQ3,/Users/lifulin/Desktop/B/Solutions/RQ3/outputs/3_5_satisfaction_objective_summary.csv,png/rq3_07_service_level_pricing.png,pdf/rq3_07_service_level_pricing.pdf,svg/rq3_07_service_level_pricing.svg,appendix,从 3_5 满意度主目标汇总文件解析代表方案 `joint_feasible_best_satisfaction` 的站点-服务价格矩阵，用于展示差异化定价结构。,4,7,generated
rq3_08,S4 情景服务级定价站点利润率,RQ3,/Users/lifulin/Desktop/B/Solutions/RQ3/outputs/3_5_satisfaction_objective_by_station.csv,png/rq3_08_service_level_station_profit.png,pdf/rq3_08_service_level_station_profit.pdf,svg/rq3_08_service_level_station_profit.svg,appendix,与服务级定价热力图配套，展示代表方案下各站点是否进入微利约束区间。,4,12,generated
rq3_09,联合可行性情景对比,RQ3,/Users/lifulin/Desktop/B/Solutions/RQ3/outputs/3_4_joint_feasibility_summary.csv,png/rq3_09_joint_feasibility_summary.png,pdf/rq3_09_joint_feasibility_summary.pdf,svg/rq3_09_joint_feasibility_summary.svg,appendix,用于补充比较 S0 与 S4 情景下联合可行性搜索的辅助可及绩效与利润表现。,2,8,generated
rq3_10,联合可行性逐站利润率诊断,RQ3,/Users/lifulin/Desktop/B/Solutions/RQ3/outputs/3_4_joint_feasibility_by_station.csv,png/rq3_10_joint_station_profit.png,pdf/rq3_10_joint_station_profit.pdf,svg/rq3_10_joint_station_profit.svg,appendix,逐站标出利润率偏离方向，可直接解释联合可行性为何未成立以及卡点站点位置。,7,17,generated
rq4_01,S0-S4 情景核心指标总对比,RQ4,/Users/lifulin/Desktop/B/Solutions/RQ4/outputs/4_1_scenario_unified_summary.csv,png/rq4_01_scenario_overview.png,pdf/rq4_01_scenario_overview.pdf,svg/rq4_01_scenario_overview.svg,main_text,按覆盖、容量、满意度优先方案可及绩效与财务四组拆开，避免利润金额与比例指标同轴失真。,40,3,generated
rq4_02,多情景服务站拓扑布局对照图,RQ4,/Users/lifulin/Desktop/B/Solutions/RQ4/outputs/4_1_scenario_unified_summary.csv,png/rq4_02_layout_small_multiples.png,pdf/rq4_02_layout_small_multiples.pdf,svg/rq4_02_layout_small_multiples.svg,appendix,通过小 multiples 观察情景扰动下站点位置与规模的稳定性。,5,2,generated
rq4_05,S0 与 S4 情景关键指标对比,RQ4,/Users/lifulin/Desktop/B/Solutions/RQ4/outputs/4_1_scenario_unified_summary.csv,png/rq4_05_s0_vs_s4.png,pdf/rq4_05_s0_vs_s4.pdf,svg/rq4_05_s0_vs_s4.svg,main_text,将预算提高前后的覆盖、最低可及绩效和净利润拆开呈现，避免异质量纲挤在同一子图。,10,4,generated
rq4_06,S0 与 S3 情景下成本上升对利润指标的影响,RQ4,/Users/lifulin/Desktop/B/Solutions/RQ4/outputs/4_1_scenario_unified_summary.csv,png/rq4_06_s0_vs_s3_cost_impact.png,pdf/rq4_06_s0_vs_s3_cost_impact.pdf,svg/rq4_06_s0_vs_s3_cost_impact.svg,appendix,将利润率与净利润拆开，解释固定成本上升的传导方向和量级。,8,3,generated
rq4_03,关键指标敏感性系数对比,RQ4,/Users/lifulin/Desktop/B/Solutions/RQ4/outputs/4_2_sensitivity_coefficients.csv,png/rq4_03_sensitivity_coefficients.png,pdf/rq4_03_sensitivity_coefficients.pdf,svg/rq4_03_sensitivity_coefficients.svg,main_text,按情景分面后，极端敏感项不再压扁其它指标，强弱关系更可读。,20,11,generated
rq4_04,各情景鲁棒性指标热力图,RQ4,/Users/lifulin/Desktop/B/Solutions/RQ4/outputs/4_2_robustness_metrics.csv,png/rq4_04_robustness_heatmap.png,pdf/rq4_04_robustness_heatmap.pdf,svg/rq4_04_robustness_heatmap.svg,appendix,适合附录集中展示鲁棒性评价全貌。,4,15,generated
